Date,pt.d.all
2016-11-01,8.841751899748768
2016-11-02,8.831332158564411
2016-11-03,8.823279855544122
2016-11-04,8.808862275865174
2016-11-07,8.825692068233874
2016-11-08,8.830996138590105
2016-11-09,8.84098534662224
2016-11-10,8.828787083914332
2016-11-11,8.814389841726879
2016-11-14,8.817771774524513
2016-11-15,8.823603813860293
2016-11-16,8.817253367370919
2016-11-17,8.823898204245054
2016-11-18,8.821112691132669
2016-11-21,8.821437352166997
2016-11-22,8.827570790239657
2016-11-23,8.82727747920426
2016-11-24,8.828962843996694
2016-11-25,8.830659934290626
2016-11-28,8.824604359049014
2016-11-29,8.820551743253025
2016-11-30,8.82229266711407
2016-12-01,8.817727306770442
2016-12-02,8.81443445813514
2016-12-05,8.81682356843495
2016-12-06,8.821702853166274
2016-12-07,8.839595508643342
2016-12-08,8.843845959854649
2016-12-09,8.847101100665434
2016-12-12,8.837884403302166
2016-12-13,8.849169636760948
2016-12-14,8.846381852125496
2016-12-15,8.85352256068954
2016-12-16,8.855321213276204
2016-12-19,8.856119584888424
2016-12-20,8.859931469616097
2016-12-21,8.85956227914883
2016-12-22,8.862724300175966
2016-12-23,8.863361157219634
2016-12-28,8.86870886283924
2016-12-29,8.87070511091946
2016-12-30,8.873860107979
2017-01-03,8.87876212654815
2017-01-04,8.88040475239267
2017-01-05,8.881183286929733
2017-01-06,8.8832381133527
2017-01-09,8.887072544814329
2017-01-10,8.892267818200333
2017-01-11,8.89432740975634
2017-01-12,8.8945879755378
2017-01-13,8.900794322543543
2017-01-16,8.899335095545595
2017-01-17,8.88466561848926
2017-01-18,8.88842567203624
2017-01-19,8.883002278096553
2017-01-20,8.881614044520525
2017-01-23,8.875035481085492
2017-01-24,8.874909565534509
2017-01-25,8.876879582720338
2017-01-26,8.87647473521992
2017-01-27,8.879681206669261
2017-01-30,8.870452308053801
2017-01-31,8.867737408136547
2017-02-01,8.868934009897737
2017-02-02,8.873580066523377
2017-02-03,8.880209956088674
2017-02-06,8.877967747792296
2017-02-07,8.879917826360344
2017-02-08,8.880279511146895
2017-02-09,8.885925156468181
2017-02-10,8.889969777993873
2017-02-13,8.892735017456696
2017-02-14,8.891318993203933
2017-02-15,8.89595832685453
2017-02-16,8.892597624621047
2017-02-17,8.895629627136483
2017-02-20,8.895615915034767
2017-02-21,8.892171573405045
2017-02-22,8.895944619259268
2017-02-23,8.891704110772311
2017-02-24,8.887887431525167
2017-02-27,8.889170455363413
2017-02-28,8.890603304305714
2017-03-01,8.906921781110526
2017-03-02,8.906854054751182
2017-03-03,8.90575623496348
2017-03-06,8.90246921084289
2017-03-07,8.900957872545062
2017-03-08,8.900358169343894
2017-03-09,8.897682313454224
2017-03-10,8.901516389070023
2017-03-13,8.904779433892834
2017-03-14,8.903529831650433
2017-03-15,8.90498302109742
2017-03-16,8.91139510724569
2017-03-17,8.9126079636709
2017-03-20,8.913254193161388
2017-03-21,8.906298512284621
2017-03-22,8.899007504080078
2017-03-23,8.901189511515543
2017-03-24,8.900658032623795
2017-03-27,8.894738819526268
2017-03-28,8.901557216317842
2017-03-29,8.905674920971707
2017-03-30,8.905105140276813
2017-03-31,8.89876169002647
2017-04-03,8.893256978371642
2017-04-04,8.898611451690373
2017-04-05,8.899962718231668
2017-04-06,8.896067913994285
2017-04-07,8.902373942934044
2017-04-10,8.90230590785423
2017-04-11,8.904562215254993
2017-04-12,8.90231952852887
2017-04-13,8.899403333038485
2017-04-18,8.874517924196466
2017-04-19,8.86987616435887
2017-04-20,8.870452308053801
2017-04-21,8.869904303414671
2017-04-24,8.89078230816217
2017-04-25,8.892281576288118
2017-04-26,8.894080509422642
2017-04-27,8.886989697232243
2017-04-28,8.882377811466354
2017-05-02,8.888770554326687
2017-05-03,8.886616528177136
2017-05-04,8.88849465801049
2017-05-05,8.895273385928988
2017-05-08,8.895752893832496
2017-05-09,8.901393830821036
2017-05-10,8.907233302968061
2017-05-11,8.907422840102354
2017-05-12,8.91400764390965
2017-05-15,8.916559727962047
2017-05-16,8.925587339030281
2017-05-17,8.923124857336044
2017-05-18,8.914142126623867
2017-05-19,8.918744008046326
2017-05-22,8.922164818407621
2017-05-23,8.920696350118053
2017-05-24,8.924642982383629
2017-05-25,8.925015545078432
2017-05-26,8.928984923852274
2017-05-30,8.926185405300558
2017-05-31,8.925321416943886
2017-06-01,8.928481286936725
2017-06-02,8.928984923852274
2017-06-05,8.926092370306293
2017-06-06,8.925986089617076
2017-06-07,8.919800900733515
2017-06-08,8.915969311373605
2017-06-09,8.926291664809604
2017-06-12,8.924243695765208
2017-06-13,8.922711618415425
2017-06-14,8.919239114413315
2017-06-15,8.911853457195898
2017-06-16,8.917779752073294
2017-06-19,8.925826582502806
2017-06-20,8.919011684741008
2017-06-21,8.91567393952577
2017-06-22,8.914532011125115
2017-06-23,8.912486757356856
2017-06-26,8.915539662670033
2017-06-27,8.913873143107402
2017-06-28,8.907585243589713
2017-06-29,8.902496381128405
2017-06-30,8.897367868302117
2017-07-03,8.906135899676109
2017-07-04,8.903434731103767
2017-07-05,8.904847300899773
2017-07-06,8.900726179905538
2017-07-07,8.902578020405272
2017-07-10,8.905172985183382
2017-07-11,8.899703482732486
2017-07-12,8.911516445938837
2017-07-13,8.911044439288792
2017-07-14,8.906312078686085
2017-07-17,8.90978919300452
2017-07-18,8.907910103604074
2017-07-19,8.913402247785994
2017-07-20,8.921043650325524
2017-07-21,8.916358484272752
2017-07-24,8.906217242377421
2017-07-25,8.913926932464157
2017-07-26,8.916277962351764
2017-07-27,8.915029272359911
2017-07-28,8.904955852024676
2017-07-31,8.905444318789714
2017-08-01,8.912432890476113
2017-08-02,8.910774621141028
2017-08-03,8.919292615918637
2017-08-04,8.924217109989499
2017-08-07,8.926902600037081
2017-08-08,8.928335512982931
2017-08-09,8.922404947120892
2017-08-10,8.907869468836136
2017-08-11,8.896998552743824
2017-08-14,8.902986050447362
2017-08-15,8.907057220070186
2017-08-16,8.913684824725294
2017-08-17,8.907598792546208
2017-08-18,8.898911905794401
2017-08-21,8.898215309096138
2017-08-22,8.906759269830037
2017-08-23,8.906894730800353
2017-08-24,8.910194291848837
2017-08-25,8.909437961353547
2017-08-29,8.900739822113998
2017-08-30,8.904535034746784
2017-08-31,8.913361901295056
2017-09-01,8.914424494597299
2017-09-04,8.910788126953914
2017-09-05,8.905566381652239
2017-09-06,8.903013273089805
2017-09-07,8.908829791587868
2017-09-08,8.9062036746893
2017-09-11,8.911071443445064
2017-09-12,8.909329895704154
2017-09-13,8.906488292827948
2017-09-14,8.894999278144423
2017-09-15,8.883986768876133
2017-09-18,8.889211789775576
2017-09-19,8.892240301456896
2017-09-20,8.891786635857315
2017-09-21,8.890672140222494
2017-09-22,8.897080642077036
2017-09-25,8.895807666723138
2017-09-26,8.893668828672563
2017-09-27,8.897477234327143
2017-09-28,8.898748020805026
2017-09-29,8.90555280513051
2017-10-02,8.914464798239958
2017-10-03,8.918395908114402
2017-10-04,8.9183289544405
2017-10-05,8.9237243977064
2017-10-06,8.925706967921224
2017-10-09,8.923711065484301
2017-10-10,8.927751945480791
2017-10-11,8.927154815651459
2017-10-12,8.930123723150313
2017-10-13,8.927367182292473
2017-10-16,8.926251835034533
2017-10-17,8.924815996063739
2017-10-18,8.928361989494302
2017-10-19,8.925720273560222
2017-10-20,8.92574688430711
2017-10-23,8.925919642226773
2017-10-24,8.926185405300558
2017-10-25,8.91559342802858
2017-10-26,8.920856677577774
2017-10-27,8.923324744067562
2017-10-30,8.92103028231492
2017-10-31,8.921737889097484
2017-11-01,8.921057018157429
2017-11-02,8.930004556869525
2017-11-03,8.930679364909992
2017-11-06,8.930930629881267
2017-11-07,8.924403455540922
2017-11-08,8.926610505301777
2017-11-09,8.920536062191797
2017-11-10,8.913684824725294
2017-11-13,8.9112872529011
2017-11-14,8.911179321066896
2017-11-15,8.90552571776325
2017-11-16,8.907463426921666
2017-11-17,8.90662379050756
2017-11-20,8.907815352654627
2017-11-21,8.910761115145734
2017-11-22,8.911799556189527
2017-11-23,8.911556932785604
2017-11-24,8.91053174890618
2017-11-27,8.907057220070186
2017-11-28,8.917404548754696
2017-11-29,8.908370053324216
2017-11-30,8.899280515527325
2017-12-01,8.895698117941619
2017-12-04,8.900957872545062
2017-12-05,8.899389672585048
2017-12-06,8.902183446335016
2017-12-07,8.898474863922049
2017-12-08,8.908424139496578
2017-12-11,8.916438999710484
2017-12-12,8.922711618415425
2017-12-13,8.922191523934957
2017-12-14,8.915714258401536
2017-12-15,8.921404193149138
2017-12-18,8.92757950384347
2017-12-19,8.928521092737496
2017-12-20,8.926012693291435
2017-12-21,8.93642970360832
2017-12-22,8.934942564081343
2017-12-27,8.938623533607764
2017-12-28,8.938912140896388
2017-12-29,8.947389910338073
